batch_date,min,max,mean,median,std,var
ts_20080723-20120424,-1.0,0.0,-0.04801455190229437,-0.05,0.04760452628110718,0.0022661909224486244
ts_20120424-20150330,-1.0,0.0,-0.0627318670940128,-0.07,0.04605485215013063,0.002121049406570392
ts_20150330-20151028,-1.0,0.0,-0.05784662609725888,-0.06,0.046134119536779934,0.0021283569854339
ts_20151028-20160421,-0.47,0.0,-0.05257839769325221,-0.05,0.046678274169281254,0.0021788612794225895
ts_20160421-20160927,-0.43,0.0,-0.05090875840102413,-0.05,0.04654961306736429,0.0021668664767213325
ts_20160927-20170301,-0.4,0.0,-0.04791365307343763,-0.05,0.04730093184938543,0.0022373781538202048
ts_20170301-20170730,-0.45,0.0,-0.04767393464444403,-0.05,0.047800256740313796,0.0022848645444399143
ts_20170730-20180204,-0.37,0.0,-0.058488115657926984,-0.06,0.04595096529544723,0.002111491211583396
ts_20180204-20180720,-1.0,0.0,-0.07193729959570612,-0.07,0.042196074394205516,0.0017805086942813263
ts_20180720-20181221,-1.0,0.0,-0.07686357991839632,-0.07,0.039741412694509926,0.0015793798829553548
ts_20181221-20190525,-0.75,0.0,-0.07740030598330397,-0.07,0.038781451259258366,0.0015040009617742324
ts_20190525-20191112,-1.0,0.0,-0.07770870914793687,-0.07,0.039495380933813766,0.0015598851151070602
ts_20191112-20200430,-0.5,0.0,-0.07827143471098058,-0.08,0.0398373934634307,0.0015870179179601912
ts_20200430-20201119,-0.4,0.0,-0.0773426265590609,-0.08,0.03932108331215083,0.0015461475928411066
ts_20201119-20210519,-0.31,0.0,-0.07726533068812556,-0.07,0.03911456211482142,0.0015299489694342232
ts_20210519-20211107,-0.33,0.0,-0.07690046638607669,-0.07,0.03819359241343116,0.0014587505014433063
ts_20211107-20220423,-0.5,0.0,-0.07661139455782313,-0.07,0.037616437290018435,0.0014149963543938894
ts_20220423-20220930,-1.0,0.0,-0.0758913208657075,-0.07,0.037276438565388544,0.001389532872119186
